condition,sample,SRA_sample_ID,tech_Lane,R1,R2
22C_100U,22C_100U_1,WGBS_Cold_22C_100U_GCmethyl_Rep1,Lane4,WGBS_22_100U_1_R1_L004.fastq.gz,WGBS_22_100U_1_R2_L004.fastq.gz
22C_100U,22C_100U_1,WGBS_Cold_22C_100U_GCmethyl_Rep1,Lane5,WGBS_22_100U_1_R1_L005.fastq.gz,WGBS_22_100U_1_R2_L005.fastq.gz
22C_100U,22C_100U_1,WGBS_Cold_22C_100U_GCmethyl_Rep1,Lane6,WGBS_22_100U_1_R1_L006.fastq.gz,WGBS_22_100U_1_R2_L006.fastq.gz
22C_100U,22C_100U_1,WGBS_Cold_22C_100U_GCmethyl_Rep1,Lane7,WGBS_22_100U_1_R1_L007.fastq.gz,WGBS_22_100U_1_R2_L007.fastq.gz
22C_100U,22C_100U_1,WGBS_Cold_22C_100U_GCmethyl_Rep1,Lane8,WGBS_22_100U_1_R1_L008.fastq.gz,WGBS_22_100U_1_R2_L008.fastq.gz
22C_100U,22C_100U_1,WGBS_Cold_22C_100U_GCmethyl_Rep1,Lane9,WGBS_22_100U_1_R1_L009.fastq.gz,WGBS_22_100U_1_R2_L009.fastq.gz
22C_100U,22C_100U_1,WGBS_Cold_22C_100U_GCmethyl_Rep1,Lane10,WGBS_22_100U_1_R1_L010.fastq.gz,WGBS_22_100U_1_R2_L010.fastq.gz
22C_100U,22C_100U_2,WGBS_Cold_22C_100U_GCmethyl_Rep2,Lane1,WGBS_22_100U_2_R1_L001.fastq.gz,WGBS_22_100U_2_R2_L001.fastq.gz
22C_100U,22C_100U_2,WGBS_Cold_22C_100U_GCmethyl_Rep2,Lane2,WGBS_22_100U_2_R1_L002.fastq.gz,WGBS_22_100U_2_R2_L002.fastq.gz
22C_100U,22C_100U_2,WGBS_Cold_22C_100U_GCmethyl_Rep2,Lane3,WGBS_22_100U_2_R1_L003.fastq.gz,WGBS_22_100U_2_R2_L003.fastq.gz
22C_100U,22C_100U_2,WGBS_Cold_22C_100U_GCmethyl_Rep2,Lane4,WGBS_22_100U_2_R1_L004.fastq.gz,WGBS_22_100U_2_R2_L004.fastq.gz
22C_100U,22C_100U_2,WGBS_Cold_22C_100U_GCmethyl_Rep2,Lane5,WGBS_22_100U_2_R1_L005.fastq.gz,WGBS_22_100U_2_R2_L005.fastq.gz
22C_100U,22C_100U_2,WGBS_Cold_22C_100U_GCmethyl_Rep2,Lane6,WGBS_22_100U_2_R1_L006.fastq.gz,WGBS_22_100U_2_R2_L006.fastq.gz
22C_100U,22C_100U_2,WGBS_Cold_22C_100U_GCmethyl_Rep2,Lane7,WGBS_22_100U_2_R1_L007.fastq.gz,WGBS_22_100U_2_R2_L007.fastq.gz
22C_100U,22C_100U_2,WGBS_Cold_22C_100U_GCmethyl_Rep2,Lane8,WGBS_22_100U_2_R1_L008.fastq.gz,WGBS_22_100U_2_R2_L008.fastq.gz
22C_100U,22C_100U_2,WGBS_Cold_22C_100U_GCmethyl_Rep2,Lane9,WGBS_22_100U_2_R1_L009.fastq.gz,WGBS_22_100U_2_R2_L009.fastq.gz
22C_100U,22C_100U_2,WGBS_Cold_22C_100U_GCmethyl_Rep2,Lane10,WGBS_22_100U_2_R1_L010.fastq.gz,WGBS_22_100U_2_R2_L010.fastq.gz
4C_0U,4C_0U_1,WGBS_Cold_4C_0U_GCmethyl_Rep1,Lane1,WGBS_4_0U_1_R1_L001.fastq.gz,WGBS_4_0U_1_R2_L001.fastq.gz
4C_0U,4C_0U_1,WGBS_Cold_4C_0U_GCmethyl_Rep1,Lane2,WGBS_4_0U_1_R1_L002.fastq.gz,WGBS_4_0U_1_R2_L002.fastq.gz
4C_0U,4C_0U_1,WGBS_Cold_4C_0U_GCmethyl_Rep1,Lane3,WGBS_4_0U_1_R1_L003.fastq.gz,WGBS_4_0U_1_R2_L003.fastq.gz
4C_0U,4C_0U_1,WGBS_Cold_4C_0U_GCmethyl_Rep1,Lane4,WGBS_4_0U_1_R1_L004.fastq.gz,WGBS_4_0U_1_R2_L004.fastq.gz
4C_0U,4C_0U_1,WGBS_Cold_4C_0U_GCmethyl_Rep1,Lane5,WGBS_4_0U_1_R1_L005.fastq.gz,WGBS_4_0U_1_R2_L005.fastq.gz
4C_0U,4C_0U_1,WGBS_Cold_4C_0U_GCmethyl_Rep1,Lane6,WGBS_4_0U_1_R1_L006.fastq.gz,WGBS_4_0U_1_R2_L006.fastq.gz
4C_0U,4C_0U_1,WGBS_Cold_4C_0U_GCmethyl_Rep1,Lane7,WGBS_4_0U_1_R1_L007.fastq.gz,WGBS_4_0U_1_R2_L007.fastq.gz
4C_0U,4C_0U_1,WGBS_Cold_4C_0U_GCmethyl_Rep1,Lane8,WGBS_4_0U_1_R1_L008.fastq.gz,WGBS_4_0U_1_R2_L008.fastq.gz
4C_0U,4C_0U_1,WGBS_Cold_4C_0U_GCmethyl_Rep1,Lane9,WGBS_4_0U_1_R1_L009.fastq.gz,WGBS_4_0U_1_R2_L009.fastq.gz
4C_0U,4C_0U_1,WGBS_Cold_4C_0U_GCmethyl_Rep1,Lane10,WGBS_4_0U_1_R1_L010.fastq.gz,WGBS_4_0U_1_R2_L010.fastq.gz
4C_0U,4C_0U_2,WGBS_Cold_4C_0U_GCmethyl_Rep2,Lane1,WGBS_4_0U_2_R1_L001.fastq.gz,WGBS_4_0U_2_R2_L001.fastq.gz
4C_0U,4C_0U_2,WGBS_Cold_4C_0U_GCmethyl_Rep2,Lane2,WGBS_4_0U_2_R1_L002.fastq.gz,WGBS_4_0U_2_R2_L002.fastq.gz
4C_0U,4C_0U_2,WGBS_Cold_4C_0U_GCmethyl_Rep2,Lane3,WGBS_4_0U_2_R1_L003.fastq.gz,WGBS_4_0U_2_R2_L003.fastq.gz
4C_0U,4C_0U_2,WGBS_Cold_4C_0U_GCmethyl_Rep2,Lane4,WGBS_4_0U_2_R1_L004.fastq.gz,WGBS_4_0U_2_R2_L004.fastq.gz
4C_0U,4C_0U_2,WGBS_Cold_4C_0U_GCmethyl_Rep2,Lane5,WGBS_4_0U_2_R1_L005.fastq.gz,WGBS_4_0U_2_R2_L005.fastq.gz
4C_0U,4C_0U_2,WGBS_Cold_4C_0U_GCmethyl_Rep2,Lane6,WGBS_4_0U_2_R1_L006.fastq.gz,WGBS_4_0U_2_R2_L006.fastq.gz
4C_0U,4C_0U_2,WGBS_Cold_4C_0U_GCmethyl_Rep2,Lane7,WGBS_4_0U_2_R1_L007.fastq.gz,WGBS_4_0U_2_R2_L007.fastq.gz
4C_0U,4C_0U_2,WGBS_Cold_4C_0U_GCmethyl_Rep2,Lane8,WGBS_4_0U_2_R1_L008.fastq.gz,WGBS_4_0U_2_R2_L008.fastq.gz
4C_0U,4C_0U_2,WGBS_Cold_4C_0U_GCmethyl_Rep2,Lane9,WGBS_4_0U_2_R1_L009.fastq.gz,WGBS_4_0U_2_R2_L009.fastq.gz
4C_0U,4C_0U_2,WGBS_Cold_4C_0U_GCmethyl_Rep2,Lane10,WGBS_4_0U_2_R1_L010.fastq.gz,WGBS_4_0U_2_R2_L010.fastq.gz
4C_100U,4C_100U_1,WGBS_Cold_4C_100U_GCmethyl_Rep1,Lane1,WGBS_4_100U_1_R1_L001.fastq.gz,WGBS_4_100U_1_R2_L001.fastq.gz
4C_100U,4C_100U_1,WGBS_Cold_4C_100U_GCmethyl_Rep1,Lane2,WGBS_4_100U_1_R1_L002.fastq.gz,WGBS_4_100U_1_R2_L002.fastq.gz
4C_100U,4C_100U_1,WGBS_Cold_4C_100U_GCmethyl_Rep1,Lane3,WGBS_4_100U_1_R1_L003.fastq.gz,WGBS_4_100U_1_R2_L003.fastq.gz
4C_100U,4C_100U_1,WGBS_Cold_4C_100U_GCmethyl_Rep1,Lane4,WGBS_4_100U_1_R1_L004.fastq.gz,WGBS_4_100U_1_R2_L004.fastq.gz
